"Protocollo","DataOraIncidente","xutm","yutm","NaturaIncidenteNew","InBufTime","InBufSpace","InBuf"
4295266,2019-03-26 20:45:00,785.638276714551,4644.84304147904,"B",1,0,1
4295151,2019-03-26 21:00:00,792.353279137566,4642.60212842793,"A",1,1,1
4295103,2019-03-26 22:30:00,788.175201430479,4643.75527499472,"D",1,0,1
4295345,2019-03-27 01:15:00,792.01903341852,4648.3060008554,"D",1,0,1
4299245,2019-03-27 08:25:00,785.593410082221,4644.71888745874,"A",1,1,1
4295479,2019-03-27 08:45:00,791.02627386591,4643.13725440762,"A",1,0,1
4295584,2019-03-27 09:10:00,789.51354587438,4642.93077062228,"D",1,0,1
4295458,2019-03-27 09:30:00,787.969036597756,4645.97155204485,"D",1,0,1
4295526,2019-03-27 11:10:00,789.528093328446,4640.94042473883,"D",1,1,1
4297790,2019-03-27 11:15:00,788.130378098986,4645.06599174671,"C",1,0,1
4296852,2019-03-27 11:15:00,793.062336293974,4645.76823851442,"C",1,1,1
4297847,2019-03-27 11:16:00,788.205039683227,4645.06901914091,"C",1,0,1
4297206,2019-03-27 11:30:00,788.881114749418,4641.92634235037,"C",1,0,1
4296901,2019-03-27 11:50:00,786.202159367061,4645.15836997869,"B",1,0,1
4296119,2019-03-27 12:00:00,786.03480172677,4645.38788209771,"D",1,0,1
4297247,2019-03-27 12:50:00,787.926082341045,4646.82629615518,"C",1,0,1
4296693,2019-03-27 12:50:00,792.083521114604,4642.4909321736,"B",1,1,1
4296767,2019-03-27 12:50:00,787.312685198581,4641.00646634464,"C",1,1,1
4298088,2019-03-27 16:00:00,791.71143127589,4645.33088363542,"B",1,0,1
4296788,2019-03-27 16:30:00,787.911953785712,4640.60790072671,"D",1,1,1
4297240,2019-03-27 17:00:00,789.794877312446,4646.83555672872,"D",1,0,1
4297101,2019-03-27 18:30:00,791.132216844613,4643.79788149185,"D",1,0,1
4297242,2019-03-27 18:50:00,787.314320389792,4647.36880239023,"A",1,0,1
4297252,2019-03-27 19:15:00,787.911103768757,4646.58097887994,"D",1,0,1
4297160,2019-03-27 19:50:00,788.314692038651,4642.69944680378,"C",1,0,1
4296713,2019-03-27 20:30:00,791.475953262867,4642.31995560793,"C",1,1,1
4296775,2019-03-27 21:05:00,784.798794391876,4648.33951186252,"B",1,1,1
4299179,2019-03-27 21:30:00,793.561649474748,4644.54296710781,"D",1,1,1
4297223,2019-03-27 21:54:00,787.781567916526,4641.570331445,"D",1,1,1
4296936,2019-03-27 22:20:00,790.71262642826,4645.11553621272,"D",1,0,1
4298750,2019-03-28 00:10:00,787.006796941532,4645.12772003094,"D",1,0,1
4297479,2019-03-28 07:35:00,791.030260002553,4643.64910097184,"D",1,0,1
4296872,2019-03-28 07:50:00,792.517351826549,4643.66563159843,"D",1,1,1
4297343,2019-03-28 08:00:00,788.474635638226,4642.11006444817,"D",1,0,1
4299152,2019-03-28 08:00:00,787.409628667589,4646.86099520968,"D",1,0,1
4299170,2019-03-28 08:00:00,786.313685729347,4645.8156673399,"D",1,0,1
4297564,2019-03-28 08:30:00,789.696469673273,4643.9505793929,"A",1,0,1
4297249,2019-03-28 09:25:00,792.223073456262,4648.19203404171,"C",1,0,1
4299360,2019-03-28 10:05:00,787.167868246764,4643.18061250679,"D",1,1,1
4299003,2019-03-28 10:30:00,786.376284842763,4643.84943209323,"B",1,1,1
4297376,2019-03-28 11:00:00,790.065064559423,4640.61746844368,"D",1,1,1
4297333,2019-03-28 11:00:00,786.805932905901,4648.84986597839,"B",1,1,1
4297438,2019-03-28 12:00:00,790.056455939506,4647.3467913812,"D",1,0,1
4298904,2019-03-28 12:00:00,793.060679772505,4648.62702091722,"D",1,1,1
4298979,2019-03-28 12:15:00,791.515546734798,4649.36251123738,"D",1,1,1
4298171,2019-03-28 13:15:00,790.341607820257,4643.00915649811,"D",1,0,1
4298813,2019-03-28 13:45:00,793.59767921077,4645.65028815671,"D",1,1,1
4298256,2019-03-28 14:00:00,791.664474189495,4642.57384897681,"D",1,1,1
4297856,2019-03-28 14:10:00,786.173974806846,4645.36512211374,"A",1,0,1
4298221,2019-03-28 14:10:00,792.46936616863,4645.64358064696,"A",1,0,1
4298195,2019-03-28 14:15:00,791.603551521035,4643.40799219832,"C",1,0,1
4299217,2019-03-28 14:30:00,789.672614029494,4645.96294199554,"B",1,0,1
4298830,2019-03-28 15:10:00,788.834004175045,4643.84952662644,"A",1,0,1
4298842,2019-03-28 15:45:00,793.233739762319,4645.64182306802,"C",1,1,1
4299219,2019-03-28 15:55:00,789.514517085918,4647.80298536686,"D",1,0,1
4300727,2019-03-28 16:20:00,791.884076626196,4644.91883115932,"D",1,0,1
4298672,2019-03-28 16:20:00,793.315808127898,4643.85426044367,"D",1,1,1
4298992,2019-03-28 16:20:00,785.84844913852,4647.0538214176,"D",1,1,1
4298800,2019-03-28 16:30:00,791.056855559675,4643.40547131932,"C",1,0,1
4298940,2019-03-28 16:40:00,786.664128668735,4645.20418484281,"C",1,0,1
4298721,2019-03-28 17:00:00,788.089272145763,4648.94632872191,"B",1,1,1
4299223,2019-03-28 17:20:00,789.903783673734,4646.40618567071,"D",1,0,1
4322526,2019-03-28 17:30:00,790.023481206256,4644.89828063221,"A",1,0,1
4300696,2019-03-28 17:30:00,791.67430177769,4644.76561130165,"D",1,0,1
4298180,2019-03-28 17:40:00,793.366130394916,4643.87148745765,"D",1,1,1
4299159,2019-03-28 18:00:00,788.693351642927,4642.18533184292,"D",1,0,1
4299095,2019-03-28 19:00:00,787.113670287342,4646.49947184727,"D",1,0,1
4299045,2019-03-28 19:25:00,789.863007571248,4643.40617003997,"D",1,0,1
4298909,2019-03-28 19:30:00,791.10084599073,4643.75210268869,"D",1,0,1
4298668,2019-03-28 20:00:00,788.393754809329,4641.43939647829,"D",1,1,1
4299721,2019-03-28 20:40:00,787.627233154194,4641.68644371062,"D",1,1,1
4298844,2019-03-28 23:20:00,792.618794640052,4648.57563240102,"D",1,1,1
4299214,2019-03-29 01:00:00,789.085529159726,4644.25940946442,"D",1,0,1
4298847,2019-03-29 06:45:00,791.73646403997,4643.65579523948,"D",1,1,1
4299350,2019-03-29 08:50:00,788.75132094156,4643.68966404962,"D",1,0,1
4303792,2019-03-29 08:50:00,787.661080647868,4642.28845648585,"D",1,1,1
4302311,2019-03-29 08:50:00,788.34951621205,4649.49081474362,"D",1,1,1
4299347,2019-03-29 09:05:00,787.935018977234,4645.58086242842,"B",1,0,1
4299435,2019-03-29 09:15:00,791.331831464766,4642.98291209401,"D",1,1,1
4303068,2019-03-29 09:30:00,793.868780096361,4645.55681795405,"D",1,1,1
4301174,2019-03-29 10:10:00,787.857272984313,4648.6513052891,"D",1,1,1
4300597,2019-03-29 10:15:00,789.665135686299,4641.04611153684,"B",1,1,1
4301016,2019-03-29 10:30:00,789.677141611364,4645.85189240565,"C",1,0,1
4301510,2019-03-29 11:20:00,788.543875761292,4642.14607537582,"D",1,0,1
4301215,2019-03-29 11:30:00,791.127907033292,4642.78045505336,"A",1,1,1
4299520,2019-03-29 11:40:00,788.241064343357,4644.18062534484,"D",1,0,1
4303817,2019-03-29 12:10:00,787.95914999789,4642.52297900612,"D",1,1,1
4301074,2019-03-29 12:20:00,786.476470902717,4646.31978168098,"D",1,0,1
4304298,2019-03-29 12:30:00,786.096881762934,4645.62896752958,"B",1,0,1
4301011,2019-03-29 12:30:00,789.419094921443,4645.8636231934,"B",1,0,1
4300108,2019-03-29 13:10:00,784.976319019719,4647.05214234469,"A",1,1,1
4300660,2019-03-29 14:00:00,791.689815270039,4645.77202983149,"D",1,0,1
4301451,2019-03-29 14:20:00,791.25678606853,4644.00320823986,"D",1,0,1
4300118,2019-03-29 14:45:00,785.268039922473,4648.88800006909,"C",1,1,1
4301467,2019-03-29 15:00:00,790.836888820489,4645.12084290564,"C",1,0,1
4301408,2019-03-29 15:00:00,788.727242688211,4648.98337403234,"C",1,1,1
4303931,2019-03-29 16:15:00,788.498996720949,4644.99196036674,"D",1,0,1
4301010,2019-03-29 16:40:00,787.171362086586,4648.04047280906,"D",1,0,1
4300113,2019-03-29 17:30:00,785.292872741031,4648.92190177651,"D",1,1,1
4301013,2019-03-29 17:35:00,790.11586478425,4645.89203986947,"C",1,0,1
4303333,2019-03-29 18:00:00,786.472160309657,4645.94148246667,"D",1,0,1
4303370,2019-03-29 19:30:00,785.34076580178,4643.97463734567,"B",1,1,1
4301501,2019-03-29 19:45:00,790.02651350739,4644.62031833137,"D",1,0,1
4301012,2019-03-29 19:50:00,791.630049149662,4647.86730964011,"A",1,0,1
4300643,2019-03-29 19:55:00,792.425621208984,4643.67298204256,"C",1,1,1
4303657,2019-03-29 20:05:00,787.588701631658,4645.04987589472,"D",1,0,1
4301436,2019-03-29 20:20:00,789.896489173322,4644.54827354169,"D",1,0,1
4302290,2019-03-30 01:30:00,787.030065599901,4648.23603173442,"B",1,1,1
4301498,2019-03-30 01:50:00,787.073907967103,4643.65510734175,"B",1,0,1
4300720,2019-03-30 02:00:00,785.268039922473,4648.88800006909,"B",1,1,1
4300677,2019-03-30 02:10:00,792.57536254447,4643.46779046075,"B",1,1,1
4301487,2019-03-30 03:00:00,790.448443501724,4642.83554375633,"C",1,0,1
4301050,2019-03-30 03:18:00,785.40192904145,4648.6243419809,"D",1,1,1
4301018,2019-03-30 03:30:00,787.987794192584,4648.7864853094,"B",1,1,1
4303918,2019-03-30 08:45:00,787.422409297591,4643.2576345943,"B",1,0,1
4300876,2019-03-30 09:10:00,787.838080539941,4640.91313194531,"B",1,1,1
4304388,2019-03-30 09:15:00,791.104075250564,4646.31066327374,"B",1,0,1
4301369,2019-03-30 09:20:00,789.72558119556,4644.6636625584,"B",1,0,1
4300809,2019-03-30 09:45:00,793.091319106043,4643.85612638066,"C",1,1,1
4303202,2019-03-30 10:15:00,790.762525743382,4646.1298221563,"B",1,0,1
4301380,2019-03-30 12:20:00,788.584553135603,4643.29358088498,"D",1,0,1
4303248,2019-03-30 12:30:00,792.791722835883,4648.90514511248,"B",1,1,1
4303136,2019-03-30 12:40:00,790.056574592866,4646.12321211847,"C",1,0,1
4303190,2019-03-30 13:40:00,790.407422294951,4645.67035699985,"D",1,0,1
4301250,2019-03-30 13:50:00,791.609217352203,4642.70506667476,"D",1,1,1
4301279,2019-03-30 14:15:00,788.009044869649,4642.91757822408,"D",1,0,1
4303177,2019-03-30 14:40:00,787.050767289282,4643.1203252084,"A",1,1,1
4303207,2019-03-30 15:05:00,790.407422294951,4645.67035699985,"B",1,0,1
4302208,2019-03-30 16:50:00,792.815409254048,4643.08833846552,"D",1,1,1
4304033,2019-03-30 18:00:00,788.011304904511,4643.49280178057,"D",1,0,1
4303914,2019-03-30 18:30:00,787.143143569246,4646.26069404016,"C",1,0,1
4303286,2019-03-30 18:30:00,792.528736113956,4649.03891301684,"C",1,1,1
4304400,2019-03-30 19:10:00,792.431383999034,4646.96586338333,"D",1,0,1
4304000,2019-03-30 21:40:00,789.048908436257,4641.88866518415,"D",1,0,1
4303963,2019-03-30 22:00:00,788.920040029178,4643.1174304962,"A",1,0,1
4307297,2019-03-30 22:00:00,786.795677824567,4645.81286064123,"D",1,0,1
4303232,2019-03-30 22:15:00,790.27953278154,4640.6595830245,"C",1,1,1
4302502,2019-03-30 22:15:00,787.874250911796,4649.53825993069,"D",1,1,1
4304063,2019-03-30 23:00:00,786.036978188779,4645.25950031807,"B",1,0,1
4303118,2019-03-30 23:00:00,792.132246770023,4647.9769437402,"B",1,0,1
4302942,2019-03-30 23:35:00,790.324661881113,4640.57243680085,"D",1,1,1
4304413,2019-03-31 00:20:00,791.70802227388,4643.94384342999,"D",1,0,1
4304060,2019-03-31 00:53:00,791.533736638705,4643.66979395125,"C",1,0,1
4303786,2019-03-31 01:05:00,786.059091990228,4645.49882084089,"D",1,0,1
4301954,2019-03-31 03:40:00,793.433619740221,4645.02713363967,"D",1,1,1
4305932,2019-03-31 11:00:00,787.692863611041,4645.81576283799,"B",1,0,1
4304109,2019-03-31 12:05:00,789.51354587438,4642.93077062228,"D",1,0,1
4304143,2019-03-31 12:15:00,791.614732903879,4643.58405963556,"A",1,0,1
4303178,2019-03-31 14:00:00,788.364745117764,4645.84299987072,"C",1,0,1
4304172,2019-03-31 14:10:00,788.901321411321,4641.83817721552,"A",1,1,1
4303245,2019-03-31 15:25:00,791.342889027793,4646.56517385763,"B",1,0,1
4304267,2019-03-31 15:35:00,789.089988712478,4643.53657706901,"C",1,0,1
4303400,2019-03-31 17:45:00,787.639230624571,4645.39402719207,"C",1,0,1
4303038,2019-03-31 17:45:00,788.727242688211,4648.98337403234,"C",1,1,1
4302944,2019-03-31 18:50:00,785.268039922473,4648.88800006909,"C",1,1,1
4303162,2019-03-31 19:15:00,788.242324493303,4647.01709446559,"B",1,0,1
4303067,2019-03-31 21:05:00,791.615694721232,4642.7498267416,"D",1,1,1
4304285,2019-03-31 23:50:00,790.328219745163,4644.38907577563,"D",1,0,1
4304044,2019-04-01 00:30:00,786.794058670058,4643.99974832053,"B",0,1,1
4304318,2019-04-01 07:50:00,790.184876733802,4641.37625067517,"D",0,0,0
4303905,2019-04-01 08:10:00,785.746444589879,4646.90511917324,"A",0,1,1
4304092,2019-04-01 09:00:00,791.009814834285,4641.79630691573,"D",0,1,1
4308299,2019-04-01 09:10:00,791.520672933514,4644.45896990752,"D",0,0,0
4303364,2019-04-01 09:30:00,787.277679681286,4648.47963264582,"D",0,1,1
4305370,2019-04-01 09:45:00,787.896440804668,4647.14766719111,"C",0,0,0
4304117,2019-04-01 10:05:00,787.029658740928,4641.66230947168,"B",0,1,1
4304035,2019-04-01 11:20:00,785.718743474309,4647.59362399325,"D",0,1,1
4308294,2019-04-01 11:30:00,791.854627947075,4645.02885888335,"C",0,0,0
4308309,2019-04-01 11:30:00,791.062195460845,4644.69602433564,"B",0,0,0
4305403,2019-04-01 12:35:00,790.647089889345,4647.32644489818,"D",0,0,0
4305384,2019-04-01 13:45:00,787.914828104456,4647.10391978721,"C",0,0,0
4304894,2019-04-01 14:05:00,787.58516238626,4641.10574539376,"D",0,1,1
4304492,2019-04-01 15:24:00,787.164045535803,4644.71543453514,"B",0,0,0
4305022,2019-04-01 16:00:00,789.847428484023,4645.54738085093,"A",0,0,0
4305037,2019-04-01 16:00:00,790.761975819756,4649.38901924965,"C",0,1,1
4308303,2019-04-01 16:30:00,792.535350457108,4646.48971685439,"C",0,0,0
4305732,2019-04-01 16:55:00,787.767010323712,4641.77526320475,"A",0,1,1
4305087,2019-04-01 17:30:00,786.688530324765,4646.40917847887,"B",0,0,0
4305218,2019-04-01 17:55:00,787.396897170857,4644.53831237299,"D",0,0,0
4305385,2019-04-01 18:00:00,787.982147542861,4646.67284430836,"C",0,0,0
4305046,2019-04-01 20:15:00,791.318255568459,4650.20161690924,"D",0,1,1
4305195,2019-04-01 22:20:00,788.493837991299,4643.8905525079,"B",0,0,0
4305296,2019-04-02 06:00:00,791.129393261689,4644.48609883949,"C",0,0,0
4305429,2019-04-02 07:30:00,789.095759016034,4642.95283978924,"D",0,0,0
4306322,2019-04-02 08:10:00,784.980080760476,4648.82081896036,"D",0,1,1
4308317,2019-04-02 08:35:00,792.205097573668,4646.81194090028,"B",0,0,0
4307005,2019-04-02 08:50:00,791.423537671793,4648.64861531249,"A",0,0,0
4308314,2019-04-02 09:00:00,792.148410289836,4646.77623773849,"B",0,0,0
4306834,2019-04-02 09:20:00,793.314266228205,4645.10007425514,"D",0,1,1
4305473,2019-04-02 10:15:00,787.987602888318,4642.84670104273,"C",0,0,0
4307036,2019-04-02 11:10:00,789.85586484548,4645.74794686287,"A",0,0,0
4306993,2019-04-02 11:30:00,789.807476285972,4645.10081435358,"B",0,0,0
4305475,2019-04-02 11:30:00,792.866571158334,4643.05707384505,"B",0,1,1
4307127,2019-04-02 12:10:00,789.889044991347,4645.74930049791,"B",0,0,0
4306853,2019-04-02 13:10:00,793.77171306724,4645.99921054113,"D",0,1,1
4307431,2019-04-02 14:05:00,790.505690947071,4641.85100916645,"B",0,0,0
4308165,2019-04-02 14:20:00,787.77081174881,4641.89481183434,"D",0,1,1
4307778,2019-04-02 14:29:00,790.660093203338,4644.36811085348,"C",0,0,0
4306108,2019-04-02 15:00:00,792.031148789671,4647.40547136562,"D",0,0,0
4307548,2019-04-02 16:15:00,789.173359763657,4642.91706332614,"D",0,0,0
4306968,2019-04-02 17:00:00,792.447359089657,4649.60287832972,"B",0,1,1
4306869,2019-04-02 17:30:00,793.596041744184,4645.66779637739,"B",0,1,1
4307997,2019-04-02 18:00:00,788.70475982939,4642.17501647995,"D",0,0,0
4306947,2019-04-02 18:15:00,786.616250379019,4645.28826841742,"C",0,0,0
4306877,2019-04-02 18:30:00,793.427973519218,4644.71420681815,"D",0,1,1
